threshold,nodes,edges,weight,distance
3.0,120.0,188.0,791.0,15.0
3.1,120.0,201.0,868.0,15.0
3.2,120.0,222.0,973.0,13.0
3.3,120.0,259.0,1092.0,13.0
3.4,120.0,290.0,1240.0,12.0
3.5,120.0,316.0,1444.0,11.0
3.6,120.0,357.0,1661.0,9.0
3.7,120.0,390.0,1933.0,9.0
3.8,120.0,417.0,2232.0,8.0
3.9,120.0,436.0,2503.0,8.0
4.0,120.0,463.0,2744.0,8.0
4.1,120.0,481.0,3036.0,8.0
4.2,120.0,500.0,3337.0,7.0
4.3,120.0,515.0,3671.0,7.0
4.4,120.0,526.0,4023.0,7.0
4.5,120.0,543.0,4479.0,7.0
4.6,120.0,557.0,4953.0,7.0
4.7,120.0,569.0,5483.0,7.0
4.8,120.0,581.0,6070.0,7.0
4.9,120.0,601.0,6706.0,7.0
5.0,120.0,613.0,7241.0,7.0
5.1,120.0,628.0,7768.0,7.0
5.2,120.0,644.0,8324.0,7.0
5.3,120.0,649.0,8870.0,7.0
5.4,120.0,660.0,9502.0,7.0
5.5,120.0,669.0,10120.0,7.0
5.6,120.0,682.0,10792.0,7.0
5.7,120.0,688.0,11485.0,7.0
5.8,120.0,699.0,12142.0,7.0
5.9,120.0,710.0,12873.0,6.0
6.0,120.0,730.0,13627.0,6.0
6.1,120.0,745.0,14342.0,6.0
6.2,120.0,761.0,15070.0,6.0
6.3,120.0,787.0,15864.0,6.0
6.4,120.0,806.0,16608.0,6.0
6.5,120.0,832.0,17350.0,6.0
6.6,120.0,853.0,18131.0,6.0
6.7,120.0,884.0,18962.0,6.0
6.8,120.0,911.0,19814.0,6.0
6.9,120.0,942.0,20703.0,6.0
7.0,120.0,973.0,21572.0,6.0
7.1,120.0,1024.0,22436.0,6.0
7.2,120.0,1064.0,23347.0,6.0
7.3,120.0,1090.0,24253.0,6.0
7.4,120.0,1128.0,25129.0,6.0
7.5,120.0,1165.0,26015.0,5.0
7.6,120.0,1200.0,26910.0,5.0
7.7,120.0,1232.0,27882.0,5.0
7.8,120.0,1262.0,28855.0,5.0
7.9,120.0,1296.0,29825.0,5.0
8.0,120.0,1332.0,30802.0,5.0
8.1,120.0,1350.0,31909.0,5.0
8.2,120.0,1371.0,32997.0,5.0
8.3,120.0,1400.0,34023.0,5.0
8.4,120.0,1431.0,35153.0,5.0
8.5,120.0,1460.0,36251.0,5.0
8.6,120.0,1483.0,37458.0,5.0
8.7,120.0,1512.0,38611.0,5.0
8.8,120.0,1542.0,39743.0,5.0
8.9,120.0,1577.0,41014.0,5.0
9.0,120.0,1599.0,42242.0,5.0
9.1,120.0,1632.0,43486.0,5.0
9.2,120.0,1662.0,44754.0,5.0
9.3,120.0,1687.0,46026.0,5.0
9.4,120.0,1724.0,47334.0,5.0
9.5,120.0,1751.0,48686.0,5.0
9.6,120.0,1780.0,50063.0,5.0
9.7,120.0,1816.0,51358.0,5.0
9.8,120.0,1842.0,52750.0,5.0
9.9,120.0,1879.0,54214.0,4.0
10.0,120.0,1917.0,55688.0,4.0
