threshold,nodes,edges,weight,distance
3.0,307.0,467.0,2094.0,26.0
3.1,307.0,526.0,2369.0,25.0
3.2,307.0,595.0,2681.0,20.0
3.3,307.0,672.0,3010.0,18.0
3.4,307.0,768.0,3399.0,17.0
3.5,307.0,835.0,3859.0,17.0
3.6,307.0,922.0,4444.0,15.0
3.7,307.0,1007.0,5170.0,14.0
3.8,307.0,1077.0,5999.0,13.0
3.9,307.0,1148.0,6873.0,13.0
4.0,307.0,1205.0,7631.0,13.0
4.1,307.0,1268.0,8460.0,13.0
4.2,307.0,1320.0,9431.0,13.0
4.3,307.0,1358.0,10590.0,13.0
4.4,307.0,1389.0,11686.0,13.0
4.5,307.0,1435.0,12973.0,12.0
4.6,307.0,1484.0,14340.0,12.0
4.7,307.0,1526.0,15812.0,12.0
4.8,307.0,1560.0,17365.0,12.0
4.9,307.0,1592.0,19164.0,12.0
5.0,307.0,1634.0,20828.0,11.0
5.1,307.0,1677.0,22472.0,11.0
5.2,307.0,1720.0,24168.0,11.0
5.3,307.0,1753.0,25874.0,11.0
5.4,307.0,1785.0,27735.0,11.0
5.5,307.0,1824.0,29687.0,10.0
5.6,307.0,1871.0,31642.0,10.0
5.7,307.0,1900.0,33676.0,10.0
5.8,307.0,1941.0,35796.0,10.0
5.9,307.0,1990.0,37922.0,9.0
6.0,307.0,2028.0,40136.0,9.0
6.1,307.0,2078.0,42478.0,9.0
6.2,307.0,2120.0,44730.0,9.0
6.3,307.0,2169.0,47151.0,9.0
6.4,307.0,2235.0,49482.0,9.0
6.5,307.0,2286.0,51929.0,9.0
6.6,307.0,2352.0,54452.0,9.0
6.7,307.0,2424.0,57088.0,9.0
6.8,307.0,2510.0,59829.0,8.0
6.9,307.0,2586.0,62585.0,8.0
7.0,307.0,2677.0,65444.0,8.0
7.1,307.0,2766.0,68260.0,8.0
7.2,307.0,2874.0,71192.0,8.0
7.3,307.0,2978.0,74161.0,8.0
7.4,307.0,3085.0,77095.0,8.0
7.5,307.0,3182.0,80111.0,8.0
7.6,307.0,3285.0,83163.0,8.0
7.7,307.0,3391.0,86268.0,8.0
7.8,307.0,3501.0,89500.0,8.0
7.9,307.0,3605.0,92693.0,8.0
8.0,307.0,3688.0,96093.0,8.0
8.1,307.0,3752.0,99429.0,8.0
8.2,307.0,3839.0,102834.0,8.0
8.3,307.0,3918.0,106436.0,8.0
8.4,307.0,4013.0,110191.0,7.0
8.5,307.0,4092.0,113840.0,7.0
8.6,307.0,4190.0,117656.0,7.0
8.7,307.0,4288.0,121558.0,7.0
8.8,307.0,4365.0,125379.0,7.0
8.9,307.0,4453.0,129423.0,7.0
9.0,307.0,4533.0,133530.0,7.0
9.1,307.0,4620.0,137591.0,7.0
9.2,307.0,4718.0,141759.0,7.0
9.3,307.0,4806.0,146060.0,7.0
9.4,307.0,4905.0,150419.0,6.0
9.5,307.0,5001.0,154955.0,6.0
9.6,307.0,5106.0,159586.0,6.0
9.7,307.0,5215.0,164265.0,6.0
9.8,307.0,5321.0,169024.0,6.0
9.9,307.0,5425.0,173809.0,6.0
10.0,307.0,5520.0,178765.0,6.0
