threshold,nodes,edges,weight,distance
3.0,510.0,793.0,3526.0,31.0
3.1,510.0,898.0,4034.0,30.0
3.2,510.0,1024.0,4547.0,27.0
3.3,510.0,1212.0,5112.0,27.0
3.4,510.0,1385.0,5780.0,26.0
3.5,510.0,1517.0,6527.0,26.0
3.6,510.0,1653.0,7402.0,23.0
3.7,510.0,1795.0,8549.0,20.0
3.8,510.0,1902.0,9909.0,20.0
3.9,510.0,2010.0,11397.0,19.0
4.0,510.0,2085.0,12510.0,19.0
4.1,510.0,2160.0,13727.0,19.0
4.2,510.0,2223.0,15139.0,18.0
4.3,510.0,2292.0,16939.0,18.0
4.4,510.0,2344.0,18714.0,18.0
4.5,510.0,2396.0,20865.0,18.0
4.6,510.0,2445.0,22979.0,18.0
4.7,510.0,2490.0,25150.0,18.0
4.8,510.0,2549.0,27558.0,16.0
4.9,510.0,2615.0,30418.0,16.0
5.0,510.0,2682.0,33063.0,16.0
5.1,510.0,2750.0,35503.0,16.0
5.2,510.0,2816.0,38149.0,16.0
5.3,510.0,2868.0,40771.0,16.0
5.4,510.0,2909.0,43583.0,16.0
5.5,510.0,2961.0,46570.0,15.0
5.6,510.0,3009.0,49649.0,15.0
5.7,510.0,3070.0,52759.0,15.0
5.8,510.0,3119.0,55967.0,15.0
5.9,510.0,3198.0,59174.0,15.0
6.0,510.0,3274.0,62511.0,15.0
6.1,510.0,3353.0,65829.0,15.0
6.2,510.0,3444.0,69169.0,15.0
6.3,510.0,3527.0,72687.0,15.0
6.4,510.0,3606.0,76022.0,14.0
6.5,510.0,3715.0,79493.0,14.0
6.6,510.0,3841.0,82997.0,13.0
6.7,510.0,3982.0,86666.0,13.0
6.8,510.0,4126.0,90710.0,12.0
6.9,510.0,4297.0,94879.0,12.0
7.0,510.0,4443.0,98878.0,12.0
7.1,510.0,4611.0,102979.0,12.0
7.2,510.0,4758.0,107060.0,11.0
7.3,510.0,4936.0,111297.0,11.0
7.4,510.0,5092.0,115568.0,11.0
7.5,510.0,5256.0,119894.0,11.0
7.6,510.0,5399.0,124159.0,11.0
7.7,510.0,5559.0,128661.0,11.0
7.8,510.0,5702.0,133128.0,11.0
7.9,510.0,5855.0,137916.0,11.0
8.0,510.0,6005.0,142869.0,11.0
8.1,510.0,6111.0,148020.0,11.0
8.2,510.0,6240.0,152996.0,10.0
8.3,510.0,6381.0,158287.0,10.0
8.4,510.0,6522.0,163696.0,10.0
8.5,510.0,6665.0,169219.0,10.0
8.6,510.0,6823.0,174846.0,10.0
8.7,510.0,6978.0,180610.0,10.0
8.8,510.0,7127.0,186565.0,10.0
8.9,510.0,7269.0,192428.0,10.0
9.0,510.0,7419.0,198605.0,10.0
9.1,510.0,7563.0,204865.0,10.0
9.2,510.0,7719.0,211222.0,10.0
9.3,510.0,7885.0,217677.0,9.0
9.4,510.0,8043.0,224211.0,9.0
9.5,510.0,8195.0,230894.0,9.0
9.6,510.0,8366.0,237785.0,9.0
9.7,510.0,8514.0,244746.0,9.0
9.8,510.0,8674.0,251822.0,9.0
9.9,510.0,8809.0,258893.0,9.0
10.0,510.0,8966.0,266208.0,9.0
