threshold,nodes,edges,weight,distance
3.0,1107.0,1706.0,7599.0,48.0
3.1,1107.0,1936.0,8629.0,43.0
3.2,1107.0,2234.0,9699.0,41.0
3.3,1107.0,2632.0,10948.0,38.0
3.4,1107.0,2969.0,12388.0,34.0
3.5,1107.0,3250.0,14111.0,32.0
3.6,1107.0,3570.0,16128.0,30.0
3.7,1107.0,3879.0,18710.0,27.0
3.8,1107.0,4131.0,21759.0,24.0
3.9,1107.0,4343.0,24875.0,23.0
4.0,1107.0,4547.0,27456.0,23.0
4.1,1107.0,4713.0,30181.0,23.0
4.2,1107.0,4856.0,33571.0,23.0
4.3,1107.0,5008.0,37819.0,23.0
4.4,1107.0,5153.0,41868.0,22.0
4.5,1107.0,5284.0,46447.0,21.0
4.6,1107.0,5406.0,51097.0,21.0
4.7,1107.0,5529.0,56062.0,21.0
4.8,1107.0,5647.0,61576.0,21.0
4.9,1107.0,5749.0,67783.0,21.0
5.0,1107.0,5893.0,73619.0,21.0
5.1,1107.0,6027.0,78978.0,21.0
5.2,1107.0,6198.0,84661.0,21.0
5.3,1107.0,6329.0,90616.0,21.0
5.4,1107.0,6454.0,96757.0,20.0
5.5,1107.0,6570.0,103391.0,20.0
5.6,1107.0,6704.0,110363.0,20.0
5.7,1107.0,6857.0,117368.0,19.0
5.8,1107.0,7003.0,124605.0,19.0
5.9,1107.0,7147.0,131789.0,19.0
6.0,1107.0,7311.0,139172.0,19.0
6.1,1107.0,7501.0,146821.0,19.0
6.2,1107.0,7738.0,154618.0,18.0
6.3,1107.0,7953.0,162505.0,17.0
6.4,1107.0,8202.0,170360.0,17.0
6.5,1107.0,8481.0,178382.0,17.0
6.6,1107.0,8761.0,186762.0,16.0
6.7,1107.0,9040.0,195141.0,16.0
6.8,1107.0,9339.0,204150.0,16.0
6.9,1107.0,9717.0,213471.0,16.0
7.0,1107.0,10124.0,223163.0,16.0
7.1,1107.0,10469.0,232568.0,15.0
7.2,1107.0,10833.0,242314.0,15.0
7.3,1107.0,11162.0,252239.0,14.0
7.4,1107.0,11518.0,262358.0,14.0
7.5,1107.0,11913.0,272622.0,14.0
7.6,1107.0,12260.0,283117.0,14.0
7.7,1107.0,12638.0,293879.0,14.0
7.8,1107.0,13019.0,304858.0,14.0
7.9,1107.0,13348.0,316182.0,14.0
8.0,1107.0,13701.0,327522.0,14.0
8.1,1107.0,14017.0,339196.0,14.0
8.2,1107.0,14352.0,351481.0,14.0
8.3,1107.0,14686.0,364125.0,13.0
8.4,1107.0,15001.0,376752.0,13.0
8.5,1107.0,15335.0,389731.0,13.0
8.6,1107.0,15667.0,402882.0,13.0
8.7,1107.0,16025.0,416425.0,13.0
8.8,1107.0,16382.0,430306.0,13.0
8.9,1107.0,16778.0,444519.0,13.0
9.0,1107.0,17143.0,458879.0,13.0
9.1,1107.0,17519.0,473603.0,13.0
9.2,1107.0,17918.0,488493.0,12.0
9.3,1107.0,18328.0,503974.0,12.0
9.4,1107.0,18791.0,519723.0,12.0
9.5,1107.0,19220.0,536081.0,12.0
9.6,1107.0,19627.0,552418.0,12.0
9.7,1107.0,20000.0,569048.0,12.0
9.8,1107.0,20434.0,585957.0,12.0
9.9,1107.0,20830.0,602983.0,11.0
10.0,1107.0,21187.0,620313.0,11.0
